Month,Model,MAE,RMSE,R2,Recommendation_Status
January,Linear Regression,0.0046183944812767,0.0048830508866594,0.9999992755646924,Recommended
February,Linear Regression,0.0031452409792677,0.0036384763507774,0.9999995278008856,Recommended
March,Linear Regression,0.0015316647696607,0.0019025751796318,0.9999996774072756,Recommended
April,Linear Regression,1.4091570405191476,1.566344699761465,-0.084439408800758,No positive-R2 model
May,Linear Regression,1.659790470306305,2.2103484634090464,0.3060169986229073,Recommended
June,Random Forest,2.7965833333336043,3.1667174425756164,-17.33709597460599,No positive-R2 model
July,Random Forest,2.7965833333336043,3.1667174425756164,-17.33709597460599,No positive-R2 model
August,Linear Regression,2.0903970918193373,2.3337544869060745,-1.1785640020616936,No positive-R2 model
September,Decision Tree,1.125,1.4577379737113252,0.6125356125356125,Recommended
October,Random Forest,1.51215555555556,2.1413339542686263,-6.164548599537047,No positive-R2 model
November,Random Forest,3.3004047619047654,4.267085540796158,-0.4939913035874168,No positive-R2 model
December,Random Forest,1.375,1.3837087843907043,0.1490444444444443,Recommended
