Pressure,RSSI,Relative_Humidity,Temperature,Time,Month,Month_Number,Season,Hour,Minute,Time_of_Day
1001.3,-98.0,79.3,26.5,1900-01-01 08:00:00.000000000,April,4,Dry,8.0,0.0,Morning
1001.0,-98.5,79.0,26.76,1900-01-01 08:30:00.000000000,April,4,Dry,8.0,30.0,Morning
1000.4,-99.2,78.9,27.0,1900-01-01 09:00:00.000000000,April,4,Dry,9.0,0.0,Morning
1001.0,-99.5,78.0,27.5,1900-01-01 09:30:00.000000000,April,4,Dry,9.0,30.0,Morning
1001.0,-101.0,78.6,29.0,1900-01-01 10:00:00.000000000,April,4,Dry,10.0,0.0,Morning
1002.0,-99.6,78.0,29.0,1900-01-01 10:30:00.000000000,April,4,Dry,10.0,30.0,Morning
1002.3,-100.0,78.4,29.3,1900-01-01 11:00:00.000000000,April,4,Dry,11.0,0.0,Morning
1002.0,-104.0,79.0,29.9,1900-01-01 11:30:00.000000000,April,4,Dry,11.0,30.0,Morning
1002.1,-100.0,79.2,30.0,1900-01-01 12:00:00.000000000,April,4,Dry,12.0,0.0,Afternoon
1003.0,-100.4,74.0,30.5,1900-01-01 12:30:00.000000000,April,4,Dry,12.0,30.0,Afternoon
1000.0,-100.6,60.1,33.0,1900-01-01 13:00:00.000000000,April,4,Dry,13.0,0.0,Afternoon
1001.0,-101.0,60.0,34.0,1900-01-01 13:30:00.000000000,April,4,Dry,13.0,30.0,Afternoon
1003.0,-101.4,55.0,35.0,1900-01-01 14:00:00.000000000,April,4,Dry,14.0,0.0,Afternoon
999.0,-100.9,54.0,35.5,1900-01-01 14:30:00.000000000,April,4,Dry,14.0,30.0,Afternoon
998.0,-104.0,57.0,34.0,1900-01-01 15:00:00.000000000,April,4,Dry,15.0,0.0,Afternoon
998.0,-102.0,55.0,35.8,1900-01-01 15:30:00.000000000,April,4,Dry,15.0,30.0,Afternoon
999.9,-100.0,64.0,34.9,1900-01-01 16:00:00.000000000,April,4,Dry,16.0,0.0,Evening
999.0,-98.2,69.0,32.0,1900-01-01 16:30:00.000000000,April,4,Dry,16.0,30.0,Evening
999.0,-100.0,70.0,33.2,1900-01-01 17:00:00.000000000,April,4,Dry,17.0,0.0,Evening
999.0,-99.0,72.0,32.0,1900-01-01 17:30:00.000000000,April,4,Dry,17.0,30.0,Evening
