Month,Model,N,Feature_Mode,Features,MAE,RMSE,R2,Validation_Method,Train_N,Test_N,Training_Time,Prediction_Time,Reproduction_Random_State,Model_File
January,Linear Regression,20,3,Temperature|Pressure|Relative_Humidity,0.004618394481269661,0.004883050886650541,0.9999992755646925,80/20 holdout (reproduction),16,4,0.0012953949999428005,0.0004144120002820273,42,models/reproduced_monthly_models/january_linear_regression.pkl
January,Decision Tree,20,3,Temperature|Pressure|Relative_Humidity,1.0475000000000065,1.286244533516086,0.9497351729412881,80/20 holdout (reproduction),16,4,0.0009421340000699274,0.00035279900021123467,42,models/reproduced_monthly_models/january_decision_tree.pkl
January,Random Forest,20,3,Temperature|Pressure|Relative_Humidity,1.9343875000000779,2.6539810336315237,0.7860005099817128,80/20 holdout (reproduction),16,4,0.15307023400055186,0.023129319999497966,42,models/reproduced_monthly_models/january_random_forest.pkl
January,XGBoost,20,3,Temperature|Pressure|Relative_Humidity,0.8642797851562527,1.2190177574225212,0.9548521396910128,80/20 holdout (reproduction),16,4,0.02276300900030037,0.0010842379997484386,42,models/reproduced_monthly_models/january_xgboost.pkl
February,Linear Regression,21,3,Temperature|Pressure|Relative_Humidity,0.0031452409792649405,0.0036384763507729943,0.9999995278008855,80/20 holdout (reproduction),16,5,0.0007648889995834907,0.0003231250002500019,42,models/reproduced_monthly_models/february_linear_regression.pkl
February,Decision Tree,21,3,Temperature|Pressure|Relative_Humidity,0.8739999999999981,1.141849377107155,0.9534945668162751,80/20 holdout (reproduction),16,5,0.0007823550004104618,0.0003265710001869593,42,models/reproduced_monthly_models/february_decision_tree.pkl
February,Random Forest,21,3,Temperature|Pressure|Relative_Humidity,1.529230000000092,2.2406839644404846,0.8209199249753556,80/20 holdout (reproduction),16,5,0.15564894100043603,0.03394846900027915,42,models/reproduced_monthly_models/february_random_forest.pkl
February,XGBoost,21,3,Temperature|Pressure|Relative_Humidity,0.8754318847656236,1.1538480275498133,0.9525120655928209,80/20 holdout (reproduction),16,5,0.01723704199957865,0.0009272719998989487,42,models/reproduced_monthly_models/february_xgboost.pkl
March,Linear Regression,21,3,Temperature|Pressure|Relative_Humidity,0.0015316647696607788,0.0019025751796329607,0.9999996774072757,80/20 holdout (reproduction),16,5,0.0007568060000266996,0.0003196600000592298,42,models/reproduced_monthly_models/march_linear_regression.pkl
March,Decision Tree,21,3,Temperature|Pressure|Relative_Humidity,0.5099999999999995,0.707827662641128,0.9553495359032436,80/20 holdout (reproduction),16,5,0.0007253389994730242,0.0003458090004642145,42,models/reproduced_monthly_models/march_decision_tree.pkl
March,Random Forest,21,3,Temperature|Pressure|Relative_Humidity,0.8338700000000898,1.3432515071645892,0.8392001690857217,80/20 holdout (reproduction),16,5,0.15437837300032697,0.02332581399969058,42,models/reproduced_monthly_models/march_random_forest.pkl
March,XGBoost,21,3,Temperature|Pressure|Relative_Humidity,0.5229185180664075,0.7107278995076142,0.954982886709406,80/20 holdout (reproduction),16,5,0.01604960900021979,0.0009621849994800868,42,models/reproduced_monthly_models/march_xgboost.pkl
April,Linear Regression,21,3,Temperature|Pressure|Relative_Humidity,1.4091570405191676,1.5663446997614852,-0.08443940880078626,80/20 holdout (reproduction),16,5,0.0007913789995654952,0.000396454999645357,42,models/reproduced_monthly_models/april_linear_regression.pkl
April,Decision Tree,21,3,Temperature|Pressure|Relative_Humidity,3.8599999999999994,4.230602793929016,-6.911067892503539,80/20 holdout (reproduction),16,5,0.0007815340004526661,0.0003236960001231637,42,models/reproduced_monthly_models/april_decision_tree.pkl
April,Random Forest,21,3,Temperature|Pressure|Relative_Humidity,2.3925000000000436,2.6584684406628245,-2.123874845297132,80/20 holdout (reproduction),16,5,0.16272385899992514,0.023129109000365133,42,models/reproduced_monthly_models/april_random_forest.pkl
April,XGBoost,21,3,Temperature|Pressure|Relative_Humidity,1.8754907226562494,2.1814298522794404,-1.1033575850494626,80/20 holdout (reproduction),16,5,0.018553668999629735,0.0009731910004120436,42,models/reproduced_monthly_models/april_xgboost.pkl
May,Linear Regression,21,3,Temperature|Pressure|Relative_Humidity,1.659790470306325,2.2103484634090584,0.30601699862289955,80/20 holdout (reproduction),16,5,0.0007718390006630216,0.00034535900067567127,42,models/reproduced_monthly_models/may_linear_regression.pkl
May,Decision Tree,21,3,Temperature|Pressure|Relative_Humidity,2.6,2.932575659723036,-0.22159090909090917,80/20 holdout (reproduction),16,5,0.0007615129998157499,0.00032485799965797924,42,models/reproduced_monthly_models/may_decision_tree.pkl
May,Random Forest,21,3,Temperature|Pressure|Relative_Humidity,2.124000000000001,2.523091357838636,0.09574005681817999,80/20 holdout (reproduction),16,5,0.1515094759997737,0.03335960999993404,42,models/reproduced_monthly_models/may_random_forest.pkl
May,XGBoost,21,3,Temperature|Pressure|Relative_Humidity,2.640299987792969,3.1090528738664047,-0.3730411608660442,80/20 holdout (reproduction),16,5,0.019302864000565023,0.0011996210005236208,42,models/reproduced_monthly_models/may_xgboost.pkl
June,Linear Regression,20,3,Temperature|Pressure|Relative_Humidity,19.150835919926834,34.50686874513125,-2176.3238685142237,80/20 holdout (reproduction),16,4,0.0008293959999718936,0.00036781200014956994,42,models/reproduced_monthly_models/june_linear_regression.pkl
June,Decision Tree,20,3,Temperature|Pressure|Relative_Humidity,5.500000000000007,7.836134251019446,-111.28342857142874,80/20 holdout (reproduction),16,4,0.0007140120005715289,0.0003633559999798308,42,models/reproduced_monthly_models/june_decision_tree.pkl
June,Random Forest,20,3,Temperature|Pressure|Relative_Humidity,2.722500000000071,3.031229288589101,-15.80155611428642,80/20 holdout (reproduction),16,4,0.15868849599974055,0.03316697100035526,42,models/reproduced_monthly_models/june_random_forest.pkl
June,XGBoost,20,3,Temperature|Pressure|Relative_Humidity,3.148982238769534,4.126866498528445,-30.14244954820832,80/20 holdout (reproduction),16,4,0.01871348900021985,0.000958289000664081,42,models/reproduced_monthly_models/june_xgboost.pkl
July,Linear Regression,20,3,Temperature|Pressure|Relative_Humidity,19.150835919926834,34.50686874513125,-2176.3238685142237,80/20 holdout (reproduction),16,4,0.0009746140003699111,0.0003368659999978263,42,models/reproduced_monthly_models/july_linear_regression.pkl
July,Decision Tree,20,3,Temperature|Pressure|Relative_Humidity,5.500000000000007,7.836134251019446,-111.28342857142874,80/20 holdout (reproduction),16,4,0.0007605519995195209,0.0003318390008644201,42,models/reproduced_monthly_models/july_decision_tree.pkl
July,Random Forest,20,3,Temperature|Pressure|Relative_Humidity,2.7225000000000676,3.0312292885891003,-15.801556114286413,80/20 holdout (reproduction),16,4,0.15549596199980442,0.02317755100011709,42,models/reproduced_monthly_models/july_random_forest.pkl
July,XGBoost,20,3,Temperature|Pressure|Relative_Humidity,3.148982238769534,4.126866498528445,-30.14244954820832,80/20 holdout (reproduction),16,4,0.020128914000451914,0.0009751339994181762,42,models/reproduced_monthly_models/july_xgboost.pkl
August,Linear Regression,20,3,Temperature|Pressure|Relative_Humidity,2.0903970918193124,2.333754486906047,-1.1785640020616421,80/20 holdout (reproduction),16,4,0.0007558650004284573,0.00035344099978829036,42,models/reproduced_monthly_models/august_linear_regression.pkl
August,Decision Tree,20,3,Temperature|Pressure|Relative_Humidity,2.25,2.8939592256975564,-2.35,80/20 holdout (reproduction),16,4,0.0007515389997934108,0.00034188399968115846,42,models/reproduced_monthly_models/august_decision_tree.pkl
August,Random Forest,20,3,Temperature|Pressure|Relative_Humidity,2.2809077380952303,2.7785325715763887,-2.0880973005243595,80/20 holdout (reproduction),16,4,0.14694904800035147,0.022832803999335738,42,models/reproduced_monthly_models/august_random_forest.pkl
August,XGBoost,20,3,Temperature|Pressure|Relative_Humidity,2.5324974060058594,3.126707174305166,-2.910519101540558,80/20 holdout (reproduction),16,4,0.018483001999811677,0.0008890039998732391,42,models/reproduced_monthly_models/august_xgboost.pkl
September,Linear Regression,8,3,Temperature|Pressure|Relative_Humidity,1.7910835291828242,2.025215504710053,0.2521485418998528,LOOCV (reconstructed September validation),7,1,0.005665750998559815,0.0026361279997217935,42,models/reproduced_monthly_models/september_linear_regression.pkl
September,Decision Tree,8,3,Temperature|Pressure|Relative_Humidity,1.875,2.57390753524675,-0.20797720797720798,LOOCV (reconstructed September validation),7,1,0.0051158720007151715,0.0024676239991094917,42,models/reproduced_monthly_models/september_decision_tree.pkl
September,Random Forest,8,3,Temperature|Pressure|Relative_Humidity,1.5875208333333326,1.8193049869157898,0.39649082431149185,LOOCV (reconstructed September validation),7,1,1.3002171889993406,0.26674787499996455,42,models/reproduced_monthly_models/september_random_forest.pkl
September,XGBoost,8,3,Temperature|Pressure|Relative_Humidity,1.8621711730957031,2.5441092565454984,-0.18016946493273878,LOOCV (reconstructed September validation),7,1,0.10146598600022116,0.005983768000078271,42,models/reproduced_monthly_models/september_xgboost.pkl
October,Linear Regression,21,3,Temperature|Pressure|Relative_Humidity,2.009721652675489,2.2324073083071116,-6.786941234660943,80/20 holdout (reproduction),16,5,0.000728814000467537,0.0003562850006346707,42,models/reproduced_monthly_models/october_linear_regression.pkl
October,Decision Tree,21,3,Temperature|Pressure|Relative_Humidity,2.2,2.792848008753788,-11.1875,80/20 holdout (reproduction),16,5,0.0007648470000276575,0.000581203000365349,42,models/reproduced_monthly_models/october_decision_tree.pkl
October,Random Forest,21,3,Temperature|Pressure|Relative_Humidity,1.5402333333333331,2.1745665123575026,-6.388655494791676,80/20 holdout (reproduction),16,5,0.15988429400022142,0.034709958999883384,42,models/reproduced_monthly_models/october_random_forest.pkl
October,XGBoost,21,3,Temperature|Pressure|Relative_Humidity,1.608245849609375,2.3180010634545893,-7.39551395340095,80/20 holdout (reproduction),16,5,0.0187047879999227,0.0010128699996130308,42,models/reproduced_monthly_models/october_xgboost.pkl
November,Linear Regression,18,3,Temperature|Pressure|Relative_Humidity,4.459404695100879,5.309375780534074,-1.3129822505781994,80/20 holdout (reproduction),14,4,0.0007454280003003078,0.0003233659999750671,42,models/reproduced_monthly_models/november_linear_regression.pkl
November,Decision Tree,18,3,Temperature|Pressure|Relative_Humidity,3.25,5.123475382979799,-1.1538461538461537,80/20 holdout (reproduction),14,4,0.0007650879997527227,0.00031192799997370457,42,models/reproduced_monthly_models/november_decision_tree.pkl
November,Random Forest,18,3,Temperature|Pressure|Relative_Humidity,3.378,4.319350935036421,-0.5308137435897438,80/20 holdout (reproduction),14,4,0.14885607499945763,0.023660144000132277,42,models/reproduced_monthly_models/november_random_forest.pkl
November,XGBoost,18,3,Temperature|Pressure|Relative_Humidity,5.963075637817383,6.9662036710492545,-2.9817840891520087,80/20 holdout (reproduction),14,4,0.01893834800011973,0.0009198219995596446,42,models/reproduced_monthly_models/november_xgboost.pkl
December,Linear Regression,10,3,Temperature|Pressure|Relative_Humidity,2.1246495015285802,2.1603891363570975,-1.0743472091065622,80/20 holdout (reproduction),8,2,0.0008675330000187387,0.0003935810000257334,42,models/reproduced_monthly_models/december_linear_regression.pkl
December,Decision Tree,10,3,Temperature|Pressure|Relative_Humidity,2.0,2.0,-0.7777777777777777,80/20 holdout (reproduction),8,2,0.0006920690002516494,0.0003385979998711264,42,models/reproduced_monthly_models/december_decision_tree.pkl
December,Random Forest,10,3,Temperature|Pressure|Relative_Humidity,1.4149999999999991,1.4264028182810062,0.09572222222222337,80/20 holdout (reproduction),8,2,0.15194687199982582,0.03487095199943724,42,models/reproduced_monthly_models/december_random_forest.pkl
December,XGBoost,10,3,Temperature|Pressure|Relative_Humidity,1.0007171630859375,1.4139174562868704,0.11148330080322921,80/20 holdout (reproduction),8,2,0.014708055000483,0.000800642000285734,42,models/reproduced_monthly_models/december_xgboost.pkl
