Month,Model,MAE,RMSE,R2,N,Feature_Mode,Validation_Method,Reproduction_Random_State,Model_File,Selection_Rule,Recommendation_Status
January,Linear Regression,0.0046183944812696,0.0048830508866505,0.9999992755646924,20,3,80/20 holdout (reproduction),42,models/reproduced_monthly_models/january_linear_regression.pkl,"Highest R2; ties resolved by lower RMSE, lower MAE, then model name",Reproduced best model
February,Linear Regression,0.0031452409792649,0.0036384763507729,0.9999995278008856,21,3,80/20 holdout (reproduction),42,models/reproduced_monthly_models/february_linear_regression.pkl,"Highest R2; ties resolved by lower RMSE, lower MAE, then model name",Reproduced best model
March,Linear Regression,0.0015316647696607,0.0019025751796329,0.9999996774072756,21,3,80/20 holdout (reproduction),42,models/reproduced_monthly_models/march_linear_regression.pkl,"Highest R2; ties resolved by lower RMSE, lower MAE, then model name",Reproduced best model
April,Linear Regression,1.4091570405191676,1.5663446997614852,-0.0844394088007862,21,3,80/20 holdout (reproduction),42,models/reproduced_monthly_models/april_linear_regression.pkl,"Highest R2; ties resolved by lower RMSE, lower MAE, then model name",Reproduced best model
May,Linear Regression,1.659790470306325,2.2103484634090584,0.3060169986228995,21,3,80/20 holdout (reproduction),42,models/reproduced_monthly_models/may_linear_regression.pkl,"Highest R2; ties resolved by lower RMSE, lower MAE, then model name",Reproduced best model
June,Random Forest,2.722500000000071,3.031229288589101,-15.80155611428642,20,3,80/20 holdout (reproduction),42,models/reproduced_monthly_models/june_random_forest.pkl,"Highest R2; ties resolved by lower RMSE, lower MAE, then model name",Reproduced best model
July,Random Forest,2.722500000000068,3.0312292885891003,-15.801556114286411,20,3,80/20 holdout (reproduction),42,models/reproduced_monthly_models/july_random_forest.pkl,"Highest R2; ties resolved by lower RMSE, lower MAE, then model name",Reproduced best model
August,Linear Regression,2.0903970918193124,2.333754486906047,-1.178564002061642,20,3,80/20 holdout (reproduction),42,models/reproduced_monthly_models/august_linear_regression.pkl,"Highest R2; ties resolved by lower RMSE, lower MAE, then model name",Reproduced best model
September,Random Forest,1.5875208333333326,1.8193049869157896,0.3964908243114918,8,3,LOOCV (reconstructed September validation),42,models/reproduced_monthly_models/september_random_forest.pkl,"Highest R2; ties resolved by lower RMSE, lower MAE, then model name",Reproduced best model
October,Random Forest,1.5402333333333331,2.174566512357502,-6.388655494791676,21,3,80/20 holdout (reproduction),42,models/reproduced_monthly_models/october_random_forest.pkl,"Highest R2; ties resolved by lower RMSE, lower MAE, then model name",Reproduced best model
November,Random Forest,3.378,4.319350935036421,-0.5308137435897438,18,3,80/20 holdout (reproduction),42,models/reproduced_monthly_models/november_random_forest.pkl,"Highest R2; ties resolved by lower RMSE, lower MAE, then model name",Reproduced best model
December,XGBoost,1.0007171630859375,1.4139174562868704,0.1114833008032292,10,3,80/20 holdout (reproduction),42,models/reproduced_monthly_models/december_xgboost.pkl,"Highest R2; ties resolved by lower RMSE, lower MAE, then model name",Reproduced best model
